Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2018-04-17,0.25551000,0.28800000,0.23983000,0.24260000,67462293.24000000,2018-04-17 23:59:59.999,17411823.57157960,42568,28228665.39000000,7281513.06137010,0,,
2018-04-18,0.24260000,0.26460000,0.24201000,0.26200000,31328095.79000000,2018-04-18 23:59:59.999,7922134.28304330,21684,15082512.84000000,3818068.82632840,0,,
2018-04-19,0.26199000,0.27500000,0.25777000,0.27004000,50859980.22000000,2018-04-19 23:59:59.999,13609907.89978870,32600,23934593.69000000,6408750.31190170,0,,
2018-04-20,0.27004000,0.30442000,0.26648000,0.30108000,71084276.49000000,2018-04-20 23:59:59.999,20270887.70351350,46506,35262790.18000000,10040840.12777730,0,,
2018-04-21,0.30161000,0.30700000,0.26509000,0.28668000,92719842.91000000,2018-04-21 23:59:59.999,26539390.12720960,55256,43517191.79000000,12413648.37070700,0,,
2018-04-22,0.28669000,0.29730000,0.27716000,0.28160000,48693828.46000000,2018-04-22 23:59:59.999,13995484.40681160,31512,23214895.86000000,6679180.53730580,0,,
2018-04-23,0.28160000,0.28867000,0.28064000,0.28788000,34341260.85000000,2018-04-23 23:59:59.999,9788784.21676100,22695,13692447.50000000,3904591.52166740,0,,
2018-04-24,0.28798000,0.32000000,0.28593000,0.30853000,90526059.79000000,2018-04-24 23:59:59.999,27728564.26935270,59339,43507259.85000000,13294488.19719800,0,,
2018-04-25,0.30850000,0.31099000,0.25730000,0.26870000,124688510.26000000,2018-04-25 23:59:59.999,34935280.91710510,75613,53116874.13000000,14847651.65233860,0,,
2018-04-26,0.26870000,0.29390000,0.25500000,0.29326000,68109625.26000000,2018-04-26 23:59:59.999,18704063.46005310,46981,31814747.97000000,8746078.16855260,0,,
2018-04-27,0.29326000,0.30643000,0.28145000,0.28445000,69781321.86000000,2018-04-27 23:59:59.999,20504315.28290510,46133,34026765.74000000,10013836.69712220,0,,
2018-04-28,0.28440000,0.36498000,0.28170000,0.35676000,168937876.23000000,2018-04-28 23:59:59.999,56407387.72753420,103617,89831223.31000000,29871051.66850670,0,,
2018-04-29,0.35675000,0.38660000,0.34150000,0.36254000,162840221.99000000,2018-04-29 23:59:59.999,59607359.48185200,103067,79911394.87000000,29289779.12516260,0,,
2018-04-30,0.36251000,0.36370000,0.33000000,0.34145000,93142615.39000000,2018-04-30 23:59:59.999,32338238.10860640,71564,40477907.58000000,14067204.94713020,0,,
2018-05-01,0.34145000,0.36034000,0.31870000,0.35504000,120368721.75000000,2018-05-01 23:59:59.999,40859083.99584130,71249,56496967.88000000,19249295.83064260,0,,
2018-05-02,0.35498000,0.37586000,0.34500000,0.37199000,65457686.29000000,2018-05-02 23:59:59.999,23759298.72861260,54666,34084267.41000000,12386872.99135150,0,,
2018-05-03,0.37199000,0.38850000,0.36402000,0.36716000,88326409.65000000,2018-05-03 23:59:59.999,32983955.92400440,68511,37735576.74000000,14118032.42835880,0,,
2018-05-04,0.36683000,0.36897000,0.34650000,0.35800000,56069269.37000000,2018-05-04 23:59:59.999,20199051.78382620,44209,26029367.87000000,9365192.77335090,0,,
2018-05-05,0.35840000,0.37434000,0.35771000,0.36502000,46962690.28000000,2018-05-05 23:59:59.999,17211963.40023110,37709,19905635.98000000,7303836.40030630,0,,
2018-05-06,0.36502000,0.36641000,0.33538000,0.34654000,63926868.16000000,2018-05-06 23:59:59.999,22202800.22710520,45636,27676267.84000000,9566932.91087640,0,,
2018-05-07,0.34599000,0.34740000,0.29100000,0.33046000,64060938.79000000,2018-05-07 23:59:59.999,20855267.85060130,45899,29922663.51000000,9738982.25201350,0,,
2018-05-08,0.33079000,0.34559000,0.31630000,0.32213000,45105012.01000000,2018-05-08 23:59:59.999,14851982.50779050,36389,21315327.90000000,7019394.55230880,0,,
2018-05-09,0.32213000,0.32547000,0.29800000,0.31884000,60635549.24000000,2018-05-09 23:59:59.999,18957201.22022620,40624,27673515.06000000,8653246.94053100,0,,
2018-05-10,0.31884000,0.32210000,0.29100000,0.29121000,38210521.24000000,2018-05-10 23:59:59.999,11849062.06166730,33669,16174022.91000000,5021601.92107810,0,,
2018-05-11,0.29121000,0.29349000,0.24880000,0.25573000,141274876.67000000,2018-05-11 23:59:59.999,37716105.25114700,87880,62311865.76000000,16625795.60604480,0,,
2018-05-12,0.25574000,0.27898000,0.23402000,0.26550000,145891622.18000000,2018-05-12 23:59:59.999,37755754.09387690,75721,66419359.07000000,17156522.08308550,0,0.00309543928594036,
2018-05-13,0.26497000,0.28500000,0.25600000,0.27718000,80814388.52000000,2018-05-13 23:59:59.999,21946942.40714350,47969,41444236.40000000,11264384.73173870,0,0.00038391885778271684,
2018-05-14,0.27718000,0.27815000,0.25123000,0.26655000,91273066.64000000,2018-05-14 23:59:59.999,24211870.75738980,52143,43694904.03000000,11601713.32198880,0,-0.002592844085734347,
2018-05-15,0.26631000,0.27500000,0.25130000,0.25394000,45482311.92000000,2018-05-15 23:59:59.999,12032089.90217380,31261,21628076.34000000,5725403.74509200,0,-0.005901443610304813,
2018-05-16,0.25394000,0.25580000,0.23700000,0.25237000,52406357.98000000,2018-05-16 23:59:59.999,12799326.87994190,31751,25975882.74000000,6335097.21217880,0,-0.008551640461631538,
2018-05-17,0.25237000,0.26054000,0.23666000,0.23919000,40168712.80000000,2018-05-17 23:59:59.999,10013492.93809120,26905,18305510.75000000,4574417.20449570,0,-0.01158194693533049,
2018-05-18,0.23915000,0.24500000,0.23037000,0.24324000,42061886.81000000,2018-05-18 23:59:59.999,9979718.32849220,27682,20837646.58000000,4950074.58447220,0,-0.01350105375164351,
2018-05-19,0.24382000,0.24750000,0.23580000,0.24116000,32607149.46000000,2018-05-19 23:59:59.999,7905841.55264420,18969,16856271.64000000,4088634.68558410,0,-0.015016695231642119,
2018-05-20,0.24151000,0.26006000,0.23832000,0.25556000,47300696.99000000,2018-05-20 23:59:59.999,11840033.99397390,28039,23621647.57000000,5920486.27866630,0,-0.014884315248944235,-0.008981476373143931
2018-05-21,0.25556000,0.25999000,0.24301000,0.24563000,41754180.20000000,2018-05-21 23:59:59.999,10487356.69863590,25176,17230436.60000000,4320120.91424380,0,-0.01540311366422148,-0.010265803831359442
2018-05-22,0.24588000,0.24730000,0.21841000,0.22000000,46428678.88000000,2018-05-22 23:59:59.999,10824531.94805320,28214,17986111.37000000,4198058.01806350,0,-0.0176786040048037,-0.011748363866048293
2018-05-23,0.22000000,0.22310000,0.19270000,0.19780000,109714442.60000000,2018-05-23 23:59:59.999,22651868.63899230,55284,49355026.84000000,10170853.57246110,0,-0.02103087018041877,-0.013604865128922389
