Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2019-06-22,3.40000000,3.44000000,1.88000000,2.19200000,16217580.77900000,2019-06-22 23:59:59.999,38927680.21328900,97664,7058690.14700000,16971528.59571900,0,,
2019-06-23,2.19000000,2.23400000,1.80000000,1.93400000,9875011.06000000,2019-06-23 23:59:59.999,19416437.12669500,44836,3568606.62100000,7082862.68202900,0,,
2019-06-24,1.93200000,2.02000000,1.30100000,1.41600000,16193672.78800000,2019-06-24 23:59:59.999,24965033.77168600,61257,6900474.37100000,10653573.80488800,0,,
2019-06-25,1.41700000,1.92000000,1.31400000,1.54000000,27118197.01900000,2019-06-25 23:59:59.999,43527814.39229100,108913,12583324.94900000,20296006.30103800,0,,
2019-06-26,1.53800000,1.87500000,1.45700000,1.59500000,17449485.35900000,2019-06-26 23:59:59.999,29200118.84022000,75601,7654141.15200000,12856124.34933000,0,,
2019-06-27,1.59500000,1.59700000,1.37100000,1.41900000,7017105.25400000,2019-06-27 23:59:59.999,10320383.38213800,32615,2943412.77000000,4340226.19731200,0,,
2019-06-28,1.42100000,1.58900000,1.38100000,1.45400000,5845445.04500000,2019-06-28 23:59:59.999,8631449.82256100,27310,2652675.09900000,3924014.54012000,0,,
2019-06-29,1.44900000,1.52300000,1.41100000,1.51000000,5350038.70300000,2019-06-29 23:59:59.999,7825809.84595800,21980,2260252.41700000,3317880.48895400,0,,
2019-06-30,1.50800000,1.58000000,1.38800000,1.44900000,5230376.81400000,2019-06-30 23:59:59.999,7781872.69355400,23171,2362023.70200000,3531832.35371100,0,,
2019-07-01,1.44900000,1.46800000,1.25000000,1.35200000,4805958.28100000,2019-07-01 23:59:59.999,6476205.96257500,20696,2423281.33800000,3263865.65406100,0,,
2019-07-02,1.35400000,1.35600000,1.03200000,1.14000000,8937311.63500000,2019-07-02 23:59:59.999,10206672.39972800,37339,4266169.18200000,4861416.80107400,0,,
2019-07-03,1.13800000,1.18600000,1.06500000,1.11000000,5412448.60900000,2019-07-03 23:59:59.999,6087342.25838700,24643,2310801.56800000,2600970.07126500,0,,
2019-07-04,1.11000000,1.13800000,0.98400000,1.01000000,5047597.50600000,2019-07-04 23:59:59.999,5249847.32043400,20805,2203660.51800000,2292459.76027800,0,,
2019-07-05,1.00900000,1.17500000,0.97400000,1.12700000,8906873.67000000,2019-07-05 23:59:59.999,9731240.97371100,34615,4419566.60300000,4830621.30405500,0,,
2019-07-06,1.12800000,1.13200000,1.02400000,1.03100000,4337280.44500000,2019-07-06 23:59:59.999,4589534.28538800,21134,2019152.90300000,2139315.24519500,0,,
2019-07-07,1.03100000,1.10500000,1.02400000,1.06500000,2975212.85000000,2019-07-07 23:59:59.999,3155557.80315300,15070,1461202.83800000,1554128.63239500,0,,
2019-07-08,1.06500000,1.06700000,1.03000000,1.04900000,1961005.67000000,2019-07-08 23:59:59.999,2046889.46224800,11946,813276.59000000,849735.21453800,0,,
2019-07-09,1.04700000,1.08400000,1.01500000,1.04400000,3709858.04400000,2019-07-09 23:59:59.999,3876326.99691700,17823,1592837.16400000,1672142.37101400,0,,
2019-07-10,1.04300000,1.11900000,0.95500000,1.02900000,6983704.32300000,2019-07-10 23:59:59.999,7248714.83432900,25944,2994071.19200000,3135756.84968400,0,,
