Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2020-08-18,2.09000000,4.44000000,2.00000000,3.10000000,6039881.97000000,2020-08-18 23:59:59.999,18375373.39233600,22593,3458952.50000000,10596741.99470400,0,,
2020-08-19,3.10000000,3.19990000,2.64000000,2.95000000,15895774.92000000,2020-08-19 23:59:59.999,47558321.63325400,75075,9037381.99000000,27152372.22780000,0,,
2020-08-20,2.94490000,3.11110000,2.60000000,2.90000000,11040863.60000000,2020-08-20 23:59:59.999,31457410.86681700,53797,5189595.84000000,14890085.87234500,0,,
2020-08-21,2.89780000,3.09000000,2.68260000,2.83300000,9765153.74000000,2020-08-21 23:59:59.999,28393535.85348400,50378,5164025.18000000,15030060.89473700,0,,
2020-08-22,2.83870000,4.55000000,2.78200000,4.45460000,41611476.51000000,2020-08-22 23:59:59.999,158038898.76509200,289179,23427260.15000000,88968596.11535300,0,,
2020-08-23,4.47560000,4.48640000,3.70320000,3.97790000,23845309.65000000,2020-08-23 23:59:59.999,95428986.26166500,175491,11759754.05000000,47013688.94093000,0,,
2020-08-24,3.98050000,4.79830000,3.78000000,4.57590000,25843953.12000000,2020-08-24 23:59:59.999,109846588.65571300,189041,14601332.13000000,61886451.25540800,0,,
2020-08-25,4.57590000,5.77000000,4.48000000,5.54120000,39457369.99000000,2020-08-25 23:59:59.999,198629064.46009100,335897,21588604.34000000,108864420.93421900,0,,
2020-08-26,5.54120000,6.57000000,5.10150000,6.07080000,37811519.74000000,2020-08-26 23:59:59.999,220764309.96798600,323009,22195096.63000000,129604659.56456900,0,,
2020-08-27,6.07080000,6.80000000,5.20010000,5.65470000,42626336.42000000,2020-08-27 23:59:59.999,254544768.74831800,342856,21248677.32000000,127146658.69595000,0,,
2020-08-28,5.65690000,6.35000000,5.46200000,6.18120000,24019172.63000000,2020-08-28 23:59:59.999,143282994.41315900,219336,12411549.07000000,73969909.30803200,0,,
2020-08-29,6.17690000,6.55600000,6.00320000,6.13330000,15360444.96000000,2020-08-29 23:59:59.999,96738124.10734200,158107,7888550.45000000,49695817.08173400,0,,
2020-08-30,6.13390000,6.25100000,5.69990000,5.89120000,13266535.91000000,2020-08-30 23:59:59.999,79304141.69388000,152937,6823989.80000000,40802286.92381300,0,,
2020-08-31,5.88750000,6.46620000,5.75410000,6.27180000,13564047.71000000,2020-08-31 23:59:59.999,83178113.34248500,156933,6839851.84000000,41888927.53428300,0,,
2020-09-01,6.27120000,6.86190000,6.12000000,6.23900000,16330264.82000000,2020-09-01 23:59:59.999,105652410.56990400,190791,8011059.78000000,51898427.00621600,0,,
2020-09-02,6.24000000,6.44720000,5.58000000,6.13740000,15500500.04000000,2020-09-02 23:59:59.999,93395820.33023400,180233,7477224.91000000,45155970.41790100,0,,
2020-09-03,6.13750000,6.33250000,5.54710000,5.67430000,21239867.51000000,2020-09-03 23:59:59.999,127670120.65843900,210984,10121518.46000000,60968416.18378700,0,,
2020-09-04,5.67430000,5.99000000,4.50000000,5.10190000,28314850.39000000,2020-09-04 23:59:59.999,149896428.92321100,243715,13893028.85000000,73838844.40161200,0,,
2020-09-05,5.09870000,5.31470000,3.53210000,4.14560000,32791302.31000000,2020-09-05 23:59:59.999,143610169.19112800,256705,15037552.05000000,66139254.94786200,0,,
2020-09-06,4.14560000,4.92100000,3.72980000,4.78400000,23608694.54000000,2020-09-06 23:59:59.999,104476521.40303800,184455,11878282.29000000,52716489.38552300,0,,
2020-09-07,4.78490000,4.83670000,4.00100000,4.59440000,16089613.82000000,2020-09-07 23:59:59.999,70783102.01142300,135886,7828589.32000000,34449700.87460900,0,,
2020-09-08,4.59670000,4.63390000,4.10670000,4.27870000,10449746.70000000,2020-09-08 23:59:59.999,45273756.94243300,78684,4945532.85000000,21432968.79637000,0,,
2020-09-09,4.26570000,4.79350000,4.07700000,4.70030000,11225976.14000000,2020-09-09 23:59:59.999,50401817.27824200,88997,5410628.26000000,24333111.75015800,0,,
2020-09-10,4.70030000,4.88940000,4.43080000,4.57960000,9912392.07000000,2020-09-10 23:59:59.999,46053296.66589200,78092,4425894.77000000,20558264.20070500,0,,
2020-09-11,4.57810000,4.75000000,4.31000000,4.64980000,9013005.18000000,2020-09-11 23:59:59.999,40569470.75388200,73965,4263128.71000000,19158082.11742800,0,,
2020-09-12,4.64330000,5.29600000,4.49980000,5.13850000,12566058.18000000,2020-09-12 23:59:59.999,61409150.77672600,103823,6023905.07000000,29398052.28140000,0,0.17104580841470085,
