Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2018-05-28,12.49000000,12.65000000,11.28000000,11.47880000,3494258.32000000,2018-05-28 23:59:59.999,41697515.29988700,33754,1872584.78000000,22360745.53191500,0,,
2018-05-29,11.48530000,12.46500000,10.70000000,12.11120000,6709192.34000000,2018-05-29 23:59:59.999,78163973.76602800,67086,3489407.08000000,40624840.88500100,0,,
2018-05-30,12.11130000,12.82000000,11.62060000,11.89680000,6514864.18000000,2018-05-30 23:59:59.999,78559433.80623500,52521,3456858.76000000,41692086.36128700,0,,
2018-05-31,11.87120000,12.74000000,11.81160000,12.23530000,6540020.80000000,2018-05-31 23:59:59.999,80454508.71393100,55055,3457530.35000000,42533291.80212500,0,,
2018-06-01,12.23510000,12.38890000,11.83540000,12.20480000,5946136.88000000,2018-06-01 23:59:59.999,72160734.19603500,53090,3245736.46000000,39409225.61068200,0,,
2018-06-02,12.21430000,15.67740000,12.10390000,14.69760000,9812623.63000000,2018-06-02 23:59:59.999,137660461.76417700,133426,5079497.05000000,71122595.26837000,0,,
2018-06-03,14.69760000,15.45100000,14.22660000,14.53040000,5800716.38000000,2018-06-03 23:59:59.999,85527513.83410500,81730,2731021.79000000,40279750.69082300,0,,
2018-06-04,14.53040000,14.84240000,13.23000000,13.46200000,4878116.53000000,2018-06-04 23:59:59.999,67436603.01382900,69831,2448176.03000000,33854880.61744200,0,,
2018-06-05,13.46190000,14.30000000,12.71000000,14.19960000,6430602.84000000,2018-06-05 23:59:59.999,87989130.24363100,86468,3347435.66000000,45892425.11182300,0,,
2018-06-06,14.19780000,14.30000000,13.36770000,13.90720000,5958713.33000000,2018-06-06 23:59:59.999,82746536.40252500,69194,3133537.56000000,43562204.09117800,0,,
2018-06-07,13.91000000,14.74090000,13.60000000,14.72070000,6061410.77000000,2018-06-07 23:59:59.999,84985557.59713800,69656,3373986.16000000,47279269.88484800,0,,
2018-06-08,14.72050000,14.90000000,13.55000000,13.96370000,2727726.06000000,2018-06-08 23:59:59.999,38752065.57896100,66798,1219800.56000000,17340345.80956200,0,,
2018-06-09,13.97940000,15.00150000,13.92000000,14.15000000,2592900.65000000,2018-06-09 23:59:59.999,37660350.14941600,70817,1390960.24000000,20219743.70620100,0,,
2018-06-10,14.15000000,14.16420000,10.98000000,11.73130000,10540465.95000000,2018-06-10 23:59:59.999,134421113.92914200,117253,5843168.92000000,74517518.83963200,0,,
2018-06-11,11.73550000,11.93000000,10.61000000,11.77190000,8878723.10000000,2018-06-11 23:59:59.999,100318882.53705500,109917,5174443.52000000,58462458.29804100,0,,
2018-06-12,11.77100000,11.78000000,9.68000000,10.09090000,9168694.85000000,2018-06-12 23:59:59.999,99873337.99199600,98326,5361700.17000000,58428566.09391100,0,,
2018-06-13,10.09090000,10.47000000,9.12000000,10.03700000,10351432.78000000,2018-06-13 23:59:59.999,102359990.49765500,113104,5782310.23000000,57261137.18948200,0,,
2018-06-14,10.03120000,11.78990000,9.46200000,11.25340000,10052349.00000000,2018-06-14 23:59:59.999,106523028.94005500,128840,5180605.42000000,54872807.86310700,0,,
