Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2018-06-12,16.20000000,16.79990000,13.95000000,14.62820000,744968.58000000,2018-06-12 23:59:59.999,11321260.47483500,24285,368915.20000000,5593754.71086600,0,,
2018-06-13,14.70000000,14.97310000,12.81300000,13.84990000,781129.30000000,2018-06-13 23:59:59.999,10799288.67525100,17726,372750.56000000,5157253.17102200,0,,
2018-06-14,13.80030000,14.34090000,13.15000000,14.06240000,682270.16000000,2018-06-14 23:59:59.999,9384377.51482800,14778,298369.62000000,4105150.44068000,0,,
2018-06-15,14.06620000,14.07480000,13.55550000,13.82000000,486000.73000000,2018-06-15 23:59:59.999,6722327.69038900,10199,226522.13000000,3132538.07499100,0,,
2018-06-16,13.82000000,14.88000000,13.75990000,14.44000000,663787.16000000,2018-06-16 23:59:59.999,9508421.43951200,15312,308721.74000000,4432945.30409900,0,,
2018-06-17,14.42910000,14.64320000,14.07270000,14.23990000,535906.20000000,2018-06-17 23:59:59.999,7693301.36301500,10074,221091.11000000,3176485.83614200,0,,
2018-06-18,14.23990000,15.62000000,13.97100000,15.09020000,615447.91000000,2018-06-18 23:59:59.999,8977252.71270900,13462,285791.88000000,4170233.02715500,0,,
2018-06-19,15.10960000,15.94480000,15.00000000,15.60250000,586508.69000000,2018-06-19 23:59:59.999,9045543.55683000,15341,278417.97000000,4292343.68886000,0,,
2018-06-20,15.60250000,17.45100000,14.71500000,17.35000000,779691.09000000,2018-06-20 23:59:59.999,12381199.13698700,19859,341216.66000000,5440704.15761800,0,,
2018-06-21,17.32000000,17.86000000,16.50370000,17.58260000,953254.49000000,2018-06-21 23:59:59.999,16398372.84850600,25572,460531.94000000,7930058.17535800,0,,
2018-06-22,17.58260000,17.68250000,14.11000000,14.48000000,1295188.37000000,2018-06-22 23:59:59.999,20292042.35834600,30239,555775.90000000,8685855.62658300,0,,
2018-06-23,14.48480000,15.12130000,14.13000000,14.75300000,518777.36000000,2018-06-23 23:59:59.999,7631367.32439400,13766,279924.27000000,4121313.68499100,0,,
2018-06-24,14.76930000,15.45140000,13.01820000,14.79200000,841002.42000000,2018-06-24 23:59:59.999,11922840.62014900,19213,443458.22000000,6291336.51543900,0,,
2018-06-25,14.78020000,16.09990000,14.47050000,15.85000000,644026.90000000,2018-06-25 23:59:59.999,9962691.12343600,17599,315902.00000000,4888501.84328200,0,,
2018-06-26,15.85000000,15.99900000,14.70000000,14.84470000,708799.86000000,2018-06-26 23:59:59.999,10962040.04989600,11324,339263.36000000,5245700.88068600,0,,
2018-06-27,14.82030000,15.63990000,14.18000000,15.45010000,1004615.03000000,2018-06-27 23:59:59.999,14962091.94029700,15361,525940.08000000,7823617.45255900,0,,
2018-06-28,15.45120000,15.66990000,14.37310000,14.54210000,1125501.57000000,2018-06-28 23:59:59.999,17057624.15857200,16053,606554.40000000,9211332.92802900,0,,
2018-06-29,14.53090000,15.55000000,14.21000000,15.25340000,1110916.87000000,2018-06-29 23:59:59.999,16359132.44122400,15887,610220.79000000,8994947.06553300,0,,
2018-06-30,15.25460000,16.85290000,15.21010000,16.15710000,1132170.79000000,2018-06-30 23:59:59.999,18207579.77120700,17821,558364.64000000,8984274.35227800,0,,
2018-07-01,16.16500000,16.45000000,15.54000000,16.03580000,733989.26000000,2018-07-01 23:59:59.999,11731196.47639800,11959,403194.15000000,6445508.58784800,0,,
2018-07-02,16.00170000,17.04000000,15.60000000,16.65140000,921193.92000000,2018-07-02 23:59:59.999,15106831.48980200,16371,497077.53000000,8166757.98228400,0,,
2018-07-03,16.66130000,17.16710000,16.02200000,16.14010000,888958.93000000,2018-07-03 23:59:59.999,14714721.82193000,13623,454171.41000000,7533769.89826100,0,,
2018-07-04,16.18960000,17.49500000,16.02540000,16.84260000,662602.99000000,2018-07-04 23:59:59.999,11245989.93350300,11770,390922.16000000,6637870.40361700,0,,
2018-07-05,16.85990000,17.43450000,16.66000000,17.40000000,802679.24000000,2018-07-05 23:59:59.999,13677631.10496400,18231,435963.79000000,7439842.72414300,0,,
2018-07-06,17.40500000,18.46780000,16.80480000,18.32700000,1383266.95000000,2018-07-06 23:59:59.999,24617389.40868000,29544,733984.03000000,13063068.23066500,0,,
2018-07-07,18.34000000,18.79010000,17.41580000,18.66210000,916164.84000000,2018-07-07 23:59:59.999,16519804.54566000,15414,464412.19000000,8390055.81678700,0,0.7762437239858606,
2018-07-08,18.65050000,18.98000000,18.12070000,18.34470000,740441.41000000,2018-07-08 23:59:59.999,13730195.13269400,12463,401220.50000000,7443891.25201700,0,0.843208128714334,
2018-07-09,18.29210000,18.75000000,18.09950000,18.15670000,738773.85000000,2018-07-09 23:59:59.999,13628119.61350500,13342,352477.17000000,6505133.46126600,0,0.8710667577327769,
2018-07-10,18.17660000,18.24980000,16.02000000,16.05000000,1140799.43000000,2018-07-10 23:59:59.999,19418708.82468700,20731,534164.28000000,9110281.25315500,0,0.7149107917759103,
2018-07-11,16.07910000,16.72140000,15.65040000,16.44000000,902667.55000000,2018-07-11 23:59:59.999,14633392.70853200,16606,459998.04000000,7462168.31561200,0,0.6155303535843366,
2018-07-12,16.45110000,16.45120000,15.67000000,16.33260000,770853.48000000,2018-07-12 23:59:59.999,12335320.81304600,12913,405706.00000000,6498801.15701500,0,0.5220860746184677,
2018-07-13,16.36510000,16.85000000,16.05600000,16.27000000,909976.41000000,2018-07-13 23:59:59.999,15038885.26473800,16447,469061.95000000,7756660.18582800,0,0.4379313138945733,
2018-07-14,16.24300000,16.74340000,16.06220000,16.36340000,595782.12000000,2018-07-14 23:59:59.999,9711934.24961600,9928,305862.04000000,4991130.04759400,0,0.37445813881010537,
2018-07-15,16.36650000,16.92000000,16.25070000,16.63650000,674323.49000000,2018-07-15 23:59:59.999,11183199.24933900,10659,382618.47000000,6340274.77729800,0,0.3422468689996485,0.5464239218028004
2018-07-16,16.63660000,17.53960000,16.52470000,17.38400000,844366.14000000,2018-07-16 23:59:59.999,14428299.07272600,14231,454908.07000000,7769541.28168100,0,0.37273949955841346,0.5116870373539231
2018-07-17,17.33010000,18.30000000,16.88030000,17.92000000,1063152.13000000,2018-07-17 23:59:59.999,18619871.63419400,20474,568999.53000000,9968474.85265200,0,0.4351398283488024,0.49637759555289895
2018-07-18,17.90320000,18.43960000,17.04000000,17.34110000,1226583.46000000,2018-07-18 23:59:59.999,21873186.18660700,25079,631493.55000000,11274271.03167500,0,0.43289005941421976,0.4836800883251632
2018-07-19,17.32880000,17.95560000,17.03640000,17.38440000,809263.50000000,2018-07-19 23:59:59.999,14097541.65277800,13952,447905.48000000,7801336.10375300,0,0.42964833093938637,0.4728737368480079
2018-07-20,17.39350000,17.65000000,15.73000000,16.10080000,847104.73000000,2018-07-20 23:59:59.999,14145517.08126500,16770,415046.86000000,6938508.83530500,0,0.3198167963116454,0.44226234874073544
2018-07-21,16.10090000,16.70190000,15.77010000,16.33560000,723326.20000000,2018-07-21 23:59:59.999,11775655.43437100,10385,357472.88000000,5821420.12666200,0,0.24885229714390888,0.40358033842137014
2018-07-22,16.31060000,16.56580000,16.00000000,16.14490000,798029.77000000,2018-07-22 23:59:59.999,13017323.42957000,9335,436302.05000000,7117298.83932700,0,0.17520487133278806,0.3579052450036537
2018-07-23,16.15000000,16.76000000,15.85000000,16.04770000,671705.72000000,2018-07-23 23:59:59.999,10915424.75045700,10029,364236.09000000,5922556.17368200,0,0.1077534138302525,0.30787487876897346
2018-07-24,16.04760000,16.82990000,15.72000000,16.59480000,760401.03000000,2018-07-24 23:59:59.999,12476713.08479300,15246,386985.09000000,6363945.91063300,0,0.09732217602820725,0.26576433822082024
2018-07-25,16.57520000,16.90850000,16.12000000,16.53520000,519882.57000000,2018-07-25 23:59:59.999,8647552.85017900,12083,252787.98000000,4207402.85911300,0,0.08328605323711002,0.2292686812240782
2018-07-26,16.54050000,17.46790000,16.29400000,16.66000000,751866.16000000,2018-07-26 23:59:59.999,12749591.22290100,16066,432355.26000000,7343621.54806700,0,0.08129551768012888,0.19967404851528836
2018-07-27,16.65990000,17.23000000,16.31000000,17.07360000,902071.25000000,2018-07-27 23:59:59.999,15112739.86577700,14631,473811.70000000,7950379.54612700,0,0.11180326882289293,0.1820998925768093
2018-07-28,17.08440000,17.40000000,16.60280000,17.01430000,881786.95000000,2018-07-28 23:59:59.999,14906377.59103200,12215,405910.46000000,6868379.57818900,0,0.1297007573954545,0.17162006554053835
2018-07-29,17.01430000,17.15000000,16.68300000,16.88790000,825160.08000000,2018-07-29 23:59:59.999,13909417.42896800,10348,490016.03000000,8266470.20868900,0,0.13216174408454862,0.1637284012493404
