Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2020-12-17,0.03000000,0.14700000,0.03000000,0.12275000,281389717.40000000,2020-12-17 23:59:59.999,33745842.20607200,76785,151777003.10000000,18331329.26118000,0,,
2020-12-18,0.12253000,0.28665000,0.12253000,0.26122000,1898014833.30000000,2020-12-18 23:59:59.999,407979967.46279500,640938,1018311044.30000000,216939056.99323000,0,,
2020-12-19,0.26097000,0.58990000,0.25522000,0.47749000,2419429958.80000000,2020-12-19 23:59:59.999,1003346431.94355700,1131146,1222087792.10000000,505309077.18607800,0,,
2020-12-20,0.47735000,0.78300000,0.45000000,0.73826000,1865776315.50000000,2020-12-20 23:59:59.999,1190582023.75715700,1416531,954441345.40000000,608311463.29007000,0,,
2020-12-21,0.73726000,0.77200000,0.45000000,0.47195000,907018961.80000000,2020-12-21 23:59:59.999,549785575.42696100,781739,427702899.00000000,259099777.49640600,0,,
2020-12-22,0.47176000,0.62900000,0.42445000,0.54572000,876719992.80000000,2020-12-22 23:59:59.999,458603977.40897100,713177,443709325.20000000,232191117.18384300,0,,
2020-12-23,0.54572000,0.58159000,0.34600000,0.41158000,559463556.20000000,2020-12-23 23:59:59.999,269405817.45792700,532601,267957851.70000000,129360420.70794400,0,,
2020-12-24,0.41198000,0.45665000,0.35246000,0.41046000,393761571.90000000,2020-12-24 23:59:59.999,158643292.37739200,370104,197349343.40000000,79616992.33079700,0,,
2020-12-25,0.41045000,0.42136000,0.33552000,0.35847000,251983717.30000000,2020-12-25 23:59:59.999,94711453.70119600,248444,123750278.60000000,46544999.29391200,0,,
2020-12-26,0.35859000,0.49900000,0.32000000,0.48480000,540655436.70000000,2020-12-26 23:59:59.999,225231134.82863700,459343,271992339.50000000,113442149.20527100,0,,
2020-12-27,0.48480000,0.49531000,0.37768000,0.39677000,362117948.20000000,2020-12-27 23:59:59.999,154275708.65804200,349825,172402739.60000000,73591151.20045800,0,,
2020-12-28,0.39679000,0.43888000,0.37801000,0.38084000,243597202.20000000,2020-12-28 23:59:59.999,99875868.97231000,216930,120424229.50000000,49489338.81031600,0,,
2020-12-29,0.38123000,0.38741000,0.33990000,0.37360000,158342381.00000000,2020-12-29 23:59:59.999,58249684.64623900,126180,77307444.60000000,28479434.33367600,0,,
2020-12-30,0.37350000,0.40349000,0.35000000,0.37465000,141656718.50000000,2020-12-30 23:59:59.999,53076912.38812400,116378,70622445.40000000,26492364.90457100,0,,
2020-12-31,0.37494000,0.38084000,0.34152000,0.35046000,77737307.60000000,2020-12-31 23:59:59.999,27809939.04669300,72905,37798031.80000000,13534674.95035000,0,,
2021-01-01,0.35046000,0.37905000,0.34505000,0.36169000,106546510.60000000,2021-01-01 23:59:59.999,38718474.83027300,114312,52384966.20000000,19067012.38782400,0,,
2021-01-02,0.36195000,0.36195000,0.30265000,0.32751000,84820913.70000000,2021-01-02 23:59:59.999,28735006.21588100,83478,39454923.40000000,13368616.05199300,0,,
2021-01-03,0.32691000,0.33734000,0.28111000,0.29857000,153423664.40000000,2021-01-03 23:59:59.999,47431512.84439100,125889,73267802.80000000,22671304.03414000,0,,
2021-01-04,0.29884000,0.35000000,0.29001000,0.30888000,141661225.90000000,2021-01-04 23:59:59.999,45106884.68525600,117375,70197821.30000000,22427425.18398700,0,,
2021-01-05,0.30888000,0.34900000,0.28511000,0.33823000,139064307.90000000,2021-01-05 23:59:59.999,44213236.38018100,107740,69418135.10000000,22096255.65938400,0,,
2021-01-06,0.33783000,0.39685000,0.31500000,0.36991000,218355039.20000000,2021-01-06 23:59:59.999,78871614.11137400,183009,115109308.70000000,41555284.78521100,0,,
2021-01-07,0.36979000,0.42000000,0.31686000,0.34633000,196776753.30000000,2021-01-07 23:59:59.999,73063115.00161700,189858,97714705.40000000,36430453.41724000,0,,
2021-01-08,0.34625000,0.35206000,0.30500000,0.32903000,142103169.30000000,2021-01-08 23:59:59.999,47469562.84984600,132599,69715990.80000000,23328113.75648400,0,,
2021-01-09,0.32903000,0.36500000,0.31651000,0.34849000,115581643.70000000,2021-01-09 23:59:59.999,39903335.48829500,98836,57765151.50000000,19956711.29826300,0,,
