Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2017-12-13,272.00000000,330.00000000,260.00000000,290.01000000,9565.16019000,2017-12-13 23:59:59.999,2770877.00276700,4709,3930.49388000,1146169.97119300,0,,
2017-12-14,290.01000000,302.72000000,252.00000000,272.40000000,9631.98382000,2017-12-14 23:59:59.999,2666481.14992110,5753,4291.36257000,1196920.22454860,0,,
2017-12-15,272.40000000,314.21000000,239.99000000,294.00000000,16579.78235000,2017-12-15 23:59:59.999,4658823.65081600,7826,9339.39791000,2638328.96365740,0,,
2017-12-16,294.00000000,305.00000000,285.00000000,293.97000000,9102.10005000,2017-12-16 23:59:59.999,2674491.78527750,6151,3601.16255000,1062827.03643380,0,,
2017-12-17,293.01000000,328.80000000,290.00000000,311.40000000,14682.26118000,2017-12-17 23:59:59.999,4618546.96648190,10383,8280.03170000,2602599.78754250,0,,
2017-12-18,311.23000000,360.96000000,277.00000000,352.00000000,17210.06137000,2017-12-18 23:59:59.999,5445727.66941420,10773,8856.91672000,2800302.61658790,0,,
2017-12-19,352.00000000,366.96000000,303.01000000,338.48000000,23190.32542000,2017-12-19 23:59:59.999,7853537.97839080,14897,11056.22420000,3756438.00295300,0,,
2017-12-20,336.05000000,357.00000000,260.00000000,302.70000000,31586.76711000,2017-12-20 23:59:59.999,9862312.57934800,15986,16395.97418000,5137734.51800450,0,,
2017-12-21,303.80000000,325.16000000,267.01000000,302.00000000,26212.15830000,2017-12-21 23:59:59.999,7792715.35064410,15163,10555.59249000,3149530.00884940,0,,
2017-12-22,303.00000000,315.00000000,177.58000000,250.99000000,81233.42425000,2017-12-22 23:59:59.999,19331731.11392850,33250,34377.90236000,8222980.30216000,0,,
2017-12-23,250.99000000,301.52000000,214.91000000,253.44000000,38709.14008000,2017-12-23 23:59:59.999,10424037.06232860,19966,17987.80835000,4867116.25424720,0,,
2017-12-24,253.44000000,277.00000000,220.03000000,262.90000000,33435.37202000,2017-12-24 23:59:59.999,8272835.26428550,21908,14196.32792000,3518824.92854660,0,,
