Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2020-09-17,0.30000000,15.00000000,0.30000000,3.46170000,102597222.59000000,2020-09-17 23:59:59.999,333729068.92584400,660780,49916784.87000000,163175040.54187500,0,,
2020-09-18,3.46180000,8.60000000,3.22850000,6.90000000,167667906.97000000,2020-09-18 23:59:59.999,1000039651.03769600,1486593,85283759.81000000,508239056.89308600,0,,
2020-09-19,6.90000000,7.49630000,5.19000000,5.72440000,79814511.66000000,2020-09-19 23:59:59.999,515450179.99235400,979043,38099403.63000000,246518469.05617900,0,,
2020-09-20,5.72440000,6.09000000,4.65000000,5.22300000,53519725.62000000,2020-09-20 23:59:59.999,282681649.96972900,592785,26051761.15000000,137608643.39857600,0,,
2020-09-21,5.22000000,5.65000000,4.06000000,4.24710000,56110504.32000000,2020-09-21 23:59:59.999,263249742.81044800,540477,26954893.82000000,126340030.72105900,0,,
2020-09-22,4.25050000,4.55400000,3.68280000,3.91050000,40815724.83000000,2020-09-22 23:59:59.999,165782944.37890100,382520,19471593.32000000,79103471.62783500,0,,
2020-09-23,3.90790000,5.34750000,3.90080000,4.38000000,58485584.80000000,2020-09-23 23:59:59.999,267187483.34736000,527149,28108700.59000000,128533720.00449300,0,,
2020-09-24,4.38000000,5.28880000,4.26000000,5.16400000,44859170.85000000,2020-09-24 23:59:59.999,219988837.33875600,391758,22737886.31000000,111556117.59830200,0,,
2020-09-25,5.15900000,5.55250000,4.76050000,4.91450000,31809864.62000000,2020-09-25 23:59:59.999,163328757.29331400,296577,15261671.00000000,78450506.02748800,0,,
2020-09-26,4.91340000,4.98970000,4.67520000,4.86840000,15021040.65000000,2020-09-26 23:59:59.999,72802048.88856300,163093,7115893.44000000,34521876.04064700,0,,
2020-09-27,4.86380000,5.21330000,4.70000000,4.84580000,14663658.99000000,2020-09-27 23:59:59.999,72093517.11861100,142632,6896512.30000000,33942124.10478100,0,,
2020-09-28,4.84600000,4.95000000,4.18000000,4.25030000,15753026.48000000,2020-09-28 23:59:59.999,71795633.33089200,201135,7355855.15000000,33579375.93147600,0,,
2020-09-29,4.24750000,4.41350000,4.12000000,4.38260000,11551787.70000000,2020-09-29 23:59:59.999,49146508.25339900,103968,5757450.50000000,24517075.30315800,0,,
2020-09-30,4.38260000,4.38540000,3.95000000,4.15540000,8331877.30000000,2020-09-30 23:59:59.999,34298302.90944600,80917,3861793.54000000,15901436.50226500,0,,
2020-10-01,4.15540000,4.51400000,3.90380000,4.23970000,18775683.03000000,2020-10-01 23:59:59.999,79128683.43521900,171366,8729961.34000000,36679006.64348100,0,,
2020-10-02,4.23960000,4.23960000,3.56900000,3.89040000,12414352.91000000,2020-10-02 23:59:59.999,48261612.06201200,108141,5838272.90000000,22692124.39641500,0,,
2020-10-03,3.89000000,4.11950000,3.83000000,3.90410000,6558893.01000000,2020-10-03 23:59:59.999,25875306.62072700,49329,3217507.68000000,12699848.84583100,0,,
2020-10-04,3.90010000,3.94470000,3.61000000,3.72620000,9253080.76000000,2020-10-04 23:59:59.999,34747338.40872200,72482,4273363.85000000,16048003.80846000,0,,
2020-10-05,3.72350000,3.80000000,3.18170000,3.31900000,14619829.43000000,2020-10-05 23:59:59.999,50225014.64048800,116364,6579123.87000000,22581582.79162800,0,,
2020-10-06,3.31900000,3.34090000,2.63000000,2.71430000,23504656.67000000,2020-10-06 23:59:59.999,70355709.60843700,165293,10959276.60000000,32869161.56714200,0,,
2020-10-07,2.71430000,3.00000000,2.47790000,2.96210000,24192428.29000000,2020-10-07 23:59:59.999,65517558.25456200,187406,11301440.49000000,30685982.54904000,0,,
2020-10-08,2.96290000,3.46540000,2.64280000,3.34990000,25679034.97000000,2020-10-08 23:59:59.999,79113737.58546500,212758,12723674.34000000,39267637.18042200,0,,
2020-10-09,3.34990000,3.60000000,3.17490000,3.38340000,16228659.83000000,2020-10-09 23:59:59.999,54925623.77584900,132223,7891079.89000000,26728204.17404100,0,,
2020-10-10,3.38000000,3.65780000,3.26640000,3.29890000,10858881.78000000,2020-10-10 23:59:59.999,37328992.38700100,94081,5181079.43000000,17810282.96071300,0,,
2020-10-11,3.29560000,3.45100000,3.17760000,3.36260000,8504843.75000000,2020-10-11 23:59:59.999,28263092.49559900,63493,4098191.93000000,13630714.57247500,0,,
2020-10-12,3.36000000,3.59940000,3.28200000,3.45990000,8926434.98000000,2020-10-12 23:59:59.999,30646748.11585800,72138,4324180.05000000,14856846.55520900,0,-0.22394476367676175,
2020-10-13,3.45540000,3.50000000,3.29310000,3.35460000,5585565.98000000,2020-10-13 23:59:59.999,19007337.64171300,43407,2557600.65000000,8706941.21125700,0,-0.22101868340971276,
2020-10-14,3.35110000,3.44000000,2.97000000,3.11230000,11409168.60000000,2020-10-14 23:59:59.999,36470199.64461900,80702,5461612.08000000,17467147.08242500,0,-0.23553621387388013,
2020-10-15,3.11050000,3.16740000,2.91500000,3.07930000,7895030.52000000,2020-10-15 23:59:59.999,24135144.70816200,67072,3779395.61000000,11562527.35999300,0,-0.24685865268342555,
2020-10-16,3.07650000,3.38030000,2.88130000,3.04260000,13597633.89000000,2020-10-16 23:59:59.999,43040138.14096100,110471,6562994.89000000,20784683.38514400,0,-0.2558439406090418,
2020-10-17,3.04360000,3.12490000,2.97030000,3.05660000,5391124.74000000,2020-10-17 23:59:59.999,16434510.95663800,47505,2557845.71000000,7802445.07321900,0,-0.25885128652672895,
2020-10-18,3.05740000,3.29100000,3.04720000,3.28110000,5642285.19000000,2020-10-18 23:59:59.999,17913667.23223500,57058,2556111.82000000,8104472.75153100,0,-0.24034876510580894,
2020-10-19,3.27970000,3.28850000,3.11000000,3.17030000,4410931.55000000,2020-10-19 23:59:59.999,14110519.11680100,52793,2062564.99000000,6600138.92353600,0,-0.23195221681185973,
2020-10-20,3.17030000,3.19100000,2.80080000,2.85820000,9089338.55000000,2020-10-20 23:59:59.999,26890645.53714400,82829,4386229.31000000,12965096.15277900,0,-0.24762726054951356,-0.24023645800232626
2020-10-21,2.85820000,3.08840000,2.83890000,2.93710000,9708638.42000000,2020-10-21 23:59:59.999,28946265.45805300,108034,4437146.15000000,13231544.91963400,0,-0.25079229754568644,-0.2423476259109983
2020-10-22,2.93590000,3.14840000,2.91940000,3.04320000,5420844.93000000,2020-10-22 23:59:59.999,16480651.70817800,50353,2686878.33000000,8169408.17520000,0,-0.2419501778413129,-0.2422681362970612
2020-10-23,3.04180000,3.12190000,2.96210000,3.01100000,4318812.16000000,2020-10-23 23:59:59.999,13094261.22050400,41504,2089005.35000000,6340759.41495500,0,-0.23483398516305698,-0.24078130607026035
2020-10-24,3.01230000,3.08500000,2.92720000,2.93990000,3415735.11000000,2020-10-24 23:59:59.999,10259849.02149600,28934,1743380.75000000,5246878.49906400,0,-0.2322542446298006,-0.23907589378216842
2020-10-25,2.93900000,2.96600000,2.71010000,2.77260000,4908494.61000000,2020-10-25 23:59:59.999,14083176.92907400,44225,2308052.82000000,6633221.62650900,0,-0.24093217732163907,-0.23944715049006257
2020-10-26,2.77170000,2.87800000,2.52000000,2.71140000,7181296.49000000,2020-10-26 23:59:59.999,19488240.32402400,58220,3442084.43000000,9350687.10381800,0,-0.24986751287995546,-0.24153122296804116
2020-10-27,2.71090000,2.91310000,2.69920000,2.80960000,7266259.31000000,2020-10-27 23:59:59.999,20547332.46249000,54182,3472115.88000000,9819952.25078000,0,-0.2461870206492356,-0.24246238250428007
2020-10-28,2.80860000,2.85930000,2.59520000,2.66110000,6456512.26000000,2020-10-28 23:59:59.999,17505001.15061500,54115,3095115.19000000,8408817.53531400,0,-0.25234404786848064,-0.24443871557712019
2020-10-29,2.65940000,2.73950000,2.48640000,2.53910000,4388799.14000000,2020-10-29 23:59:59.999,11419321.82366700,36071,2081209.19000000,5427527.89274700,0,-0.2640244076799294,-0.24835585399768206
