Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2018-05-31,0.28021000,0.30600000,0.28021000,0.29568000,13858336.58000000,2018-05-31 23:59:59.999,4107705.32060780,8514,7214571.33000000,2141357.06950060,0,,
2018-06-01,0.29567000,0.29999000,0.27963000,0.28863000,20363494.36000000,2018-06-01 23:59:59.999,5898006.85521330,12578,12009128.48000000,3476056.77052880,0,,
2018-06-02,0.28869000,0.30489000,0.28812000,0.29740000,21831274.53000000,2018-06-02 23:59:59.999,6478733.80405920,13312,13673110.80000000,4056778.09686410,0,,
2018-06-03,0.29741000,0.31200000,0.29651000,0.30405000,21640031.26000000,2018-06-03 23:59:59.999,6572281.81781260,18350,13691295.51000000,4156708.47786380,0,,
2018-06-04,0.30406000,0.31104000,0.28501000,0.29080000,17487526.89000000,2018-06-04 23:59:59.999,5170509.81877280,11956,9723061.66000000,2876288.97670110,0,,
2018-06-05,0.29022000,0.29876000,0.27801000,0.29403000,15259665.07000000,2018-06-05 23:59:59.999,4403409.77629950,15248,8720822.78000000,2515200.33556080,0,,
2018-06-06,0.29403000,0.30151000,0.28817000,0.29950000,15572839.03000000,2018-06-06 23:59:59.999,4567543.04891110,13152,10248290.90000000,3005483.25167190,0,,
2018-06-07,0.29959000,0.30620000,0.29000000,0.29298000,17873474.34000000,2018-06-07 23:59:59.999,5349413.95482630,16561,10318294.04000000,3086071.41216010,0,,
2018-06-08,0.29284000,0.29542000,0.28471000,0.28698000,17749233.55000000,2018-06-08 23:59:59.999,5135562.58337510,9298,10656202.45000000,3085785.94111180,0,,
2018-06-09,0.28698000,0.29135000,0.27777000,0.28027000,18505595.52000000,2018-06-09 23:59:59.999,5285220.96174990,8151,10884442.41000000,3112822.38531580,0,,
2018-06-10,0.28027000,0.28700000,0.23681000,0.24402000,20539255.42000000,2018-06-10 23:59:59.999,5323064.60317810,12459,12076696.45000000,3139227.09719670,0,,
2018-06-11,0.24472000,0.25800000,0.23377000,0.25332000,15650347.87000000,2018-06-11 23:59:59.999,3797402.92931760,9531,8701451.33000000,2110724.02525930,0,,
2018-06-12,0.25329000,0.25332000,0.21300000,0.22717000,17130990.60000000,2018-06-12 23:59:59.999,4098949.17685940,9487,9483838.79000000,2271241.90904490,0,,
2018-06-13,0.22622000,0.23056000,0.20331000,0.21839000,18906513.51000000,2018-06-13 23:59:59.999,4165786.34110100,11330,9993361.99000000,2207749.80663680,0,,
2018-06-14,0.21840000,0.24380000,0.21641000,0.23990000,22050182.15000000,2018-06-14 23:59:59.999,5115164.44485760,12707,12333253.08000000,2857753.68687670,0,,
2018-06-15,0.23993000,0.24238000,0.22799000,0.22899000,18277900.33000000,2018-06-15 23:59:59.999,4321376.16318700,9236,10084159.64000000,2385105.36324130,0,,
2018-06-16,0.22883000,0.23374000,0.22231000,0.22953000,14746164.21000000,2018-06-16 23:59:59.999,3380495.67502990,7401,8785947.15000000,2014622.94962610,0,,
2018-06-17,0.22990000,0.23382000,0.22571000,0.22814000,14393871.30000000,2018-06-17 23:59:59.999,3315165.66989610,6335,8716025.22000000,2007960.73099690,0,,
2018-06-18,0.22815000,0.24051000,0.21955000,0.23262000,17161710.06000000,2018-06-18 23:59:59.999,3924005.72596260,8637,10290389.31000000,2352918.54635250,0,,
2018-06-19,0.23302000,0.24054000,0.22979000,0.23409000,15353618.48000000,2018-06-19 23:59:59.999,3589450.67281450,7811,9614463.61000000,2247756.84066760,0,,
2018-06-20,0.23469000,0.23673000,0.22341000,0.23067000,15856602.15000000,2018-06-20 23:59:59.999,3646019.15342010,7880,8955280.00000000,2057311.63126730,0,,
